2018Rank,City,State,2018Estimate,2010Census,Change,2016LandAreaMi,2016LandAreaKm,2016PopulationDensityMi,2016PopulationDensityKm,latitude,longitude,FIPS Code,summary
65,Cincinnati,Ohio,302605,296943,+1.91%,77.4 sq mi,200.5 km2,3860/sq mi,1490/km2,390825,843021,https://factfinder.census.gov/bkmk/table/1.0/en/DEC/10_DP/DPDP1/1600000US3915000,"Cincinnati has many nicknames, including Cincy, The Nati, The Queen City, The Queen of the West, The Blue Chip City, and The City of Seven Hills.The city has an extensive library system, both the city's public one and university facilities.Anti-abolitionists attacked blacks in the city in a wave of destruction that resulted in 1,200 blacks leaving the city and the country; they resettled in Canada.The city manager is Harry Black, and the manager maintains two assistant city managers.During this period of rapid expansion and prominence, residents of Cincinnati began referring to the city as the Queen City.The city proper operates with a nine-member city council, whose members are elected at-large.""The City of Seven Hills"" is another name for city."
66,Pittsburgh,Pennsylvania,301048,305704,−1.52%,55.4 sq mi,143.5 km2,5481/sq mi,2116/km2,402623,795836,https://factfinder.census.gov/bkmk/table/1.0/en/DEC/10_DP/DPDP1/1600000US4261000,"The city boasts several professional teams and in 2009 the city won the Sporting News title of ""Best Sports City"" in the United States.Pittsburgh's rail industry dates to 1851 when the Pennsylvania Railroad first opened service between the city and Philadelphia, the Baltimore & Ohio Railroad entered the city in 1871.Pittsburgh was ranked as the 4th-best city for working mothers by Forbes in 2010 and the city was ranked as one of the best for entrepreneurs by Entrepreneur.What is known today as Pittsburgh's North Side was once known as Allegheny City, and operated as a city independently of Pittsburgh.Pittsburgh is known both as ""the Steel City"" for its more than 300 steel-related businesses and as the ""City of Bridges"" for its 446 bridges.There were active stations of the Underground Railroad in the city, and numerous refugees were documented as getting help from station agents and African-American workers in city hotels.A population of about 301,048 residents live within the city limits, making it the 66th-largest city in the U.S."
67,Greensboro,North Carolina,294722,269666,+9.29%,128.3 sq mi,332.3 km2,2237/sq mi,864/km2,360542,794937,https://factfinder.census.gov/bkmk/table/1.0/en/DEC/10_DP/DPDP1/1600000US3728000,"College and high school students constituted most of the protesters, and at one point approximately 1,400 blacks were jailed in the city of Greensboro.In the 21st century, the universities are leaders in new areas of research in high tech and science, on which the city hopes to build a new economy.Three major interstate highways (Interstate 40, Interstate 85, and Interstate 73) in the Piedmont region of central North Carolina were built to intersect at this city.Families of those killed and injured in the attack filed a civil suit against the city and police department for failure to protect the black citizens.Facilities reserved for blacks were generally underfunded by the state and city governments, which were dominated by conservative white Democrats.Though the city developed slowly, early wealth generated in the 18th and 19th centuries from cotton trade and merchandising resulted in owners' constructing several notable buildings.Four Seasons Town Centre, located on the city's southwest side off I-40, is a three-level regional mall."
68,Anchorage,Alaska,291538,291826,−0.10%,1706.6 sq mi,4420.1 km2,175/sq mi,68/km2,611027,1491703,https://factfinder.census.gov/bkmk/table/1.0/en/DEC/10_DP/DPDP1/1600000US0203000,"In the summer of that year, residents held a vote to change the city's name; a plurality of residents favored changing the city's name to ""Alaska City.""The city limits span 1,961.1 square miles (5,079.2 km2) which encompass the urban core, a joint military base, several outlying communities and almost all of Chugach State Park.As a result, in 1976 voters approved a plan to build a new capital city near Willow, about 70 miles (110 km) north of Anchorage.Of the city's population over the age of 25, 33.7% held a bachelor's degree or higher, and 92.1% had a high school diploma or equivalent.Communities such as Fairbanks and much of rural Alaska opposed moving the capital to Anchorage for fear of concentrating more power in the state's largest city.Since that census, the area encompassing Downtown Anchorage and surrounding neighborhoods has served as the city's single-member section.The city of Anchorage provides three municipal facilities large enough to hold major events such as concerts, trade shows and conventions."
69,Plano,Texas,288061,259841,+10.86%,71.7 sq mi,185.7 km2,3990/sq mi,1540/km2,330303,964452,https://factfinder.census.gov/bkmk/table/1.0/en/DEC/10_DP/DPDP1/1600000US4858016,"Plano is governed by the council-manager form of government, with a part-time city council that sets city policy and a city manager who is responsible for city operations.The mayor and city council members could serve for a maximum of three consecutive three-year terms until voters approved changes to the city charter in 2011.In 2014, Plano's City Council passed an expansion of the city's Equal Rights Policy that included anti-discrimination protections for gay, lesbian, and transgender individuals.The city also has a convention center that is owned and operated by the city.Also in 1881, the city assumed responsibility for what would eventually become Plano Independent School District (PISD), ending the days of it being served only by private schools.Out of the cities with 250,000 and more residents, Plano has the sixth largest percentage of ethnic Chinese, making up 5.2% of the city's population.The City of Plano also owns and operates three performing arts venues and one conference center under the auspices of the Parks and Recreation Department."
70,Lincoln,Nebraska,287401,258379,+11.23%,92.1 sq mi,238.5 km2,3044/sq mi,1175/km2,404838,964049,https://factfinder.census.gov/bkmk/table/1.0/en/DEC/10_DP/DPDP1/1600000US3128000,"Lincoln is served by Interstate 80 via 7 interchanges, connecting the city to San Francisco and Teaneck, New Jersey in the New York City Metropolitan Area.The city lies within the Lincoln Public Schools school district; the primary law enforcement agency for the city is the Lincoln Police Department.Designated as a ""refugee-friendly"" city by the U.S. Department of State in the 1970s, the city was the twelfth-largest resettlement site per capita in the United States by 2000.The city's public library system is Lincoln City Libraries, which has seven branches.One of the largest employers is Bryan Health, which consists of two major hospitals and several large outpatient facilities located across the city.In recent years, Lincoln had the largest Yazidi (Iraqi ethnic minority) population in the U.S., with over 2,000–3,000 having settled within the city (as of late 2017).The LES service area covers 200 square miles (520 km2), serving Lincoln and several other communities outside of the city."
71,Orlando,Florida,285713,238300,+19.90%,105.2 sq mi,272.5 km2,2635/sq mi,1017/km2,282500,811625,https://factfinder.census.gov/bkmk/table/1.0/en/DEC/10_DP/DPDP1/1600000US1253000,"The city and county are working together in an effort to ""round-out"" the city limits with Orlando annexing portions of land already bordering the city limits.The city is also served by the following newspapers: Orlando uses the Lynx bus system as well as a downtown bus service called Lymmo.This also explains Orlando's relatively low city population when compared to its metropolitan population.The city is also one of the busiest American cities for conferences and conventions; the Orange County Convention Center is the second-largest convention facility in the United States.These figures make it the 23rd-largest metropolitan area in the United States, the sixth-largest metropolitan area in the Southern United States, and the third-largest metropolitan area in Florida.Attempts to establish a smaller light rail service for the Orlando area were also considered at one time,[when?]Orlando's city limits resemble a checkerboard, with pockets of unincorporated Orange County surrounded by city limits."
72,Irvine,California,282572,212375,+33.05%,65.6 sq mi,169.9 km2,4057/sq mi,1566/km2,334042,1174617,https://factfinder.census.gov/bkmk/table/1.0/en/DEC/10_DP/DPDP1/1600000US0636770,"The City Council sets the policies for the city, and the City Manager is responsible for implementing the policies.The City Council appoints the City Manager, who functions as the chief administrator of the city.The 66-square-mile (170 km2) city had a population of 212,375 as of the 2010 census; in 2018 the California Department of Finance estimated the city's population at 276,176.In 2016, Irvine became the largest city in the continental United States with an Asian American plurality, constituting around 45% of the city's population.Streets and intersections owned by the city have trademark mahogany signage and are fiber optically linked to the city's Irvine Traffic Research and Control Center (ITRAC).The City Council consists of the Mayor and four City Council members.The structure of the management and coordination of city services is: The city of Irvine is served by eight departments."
73,Newark,New Jersey,282090,277140,+1.79%,24.1 sq mi,62.4 km2,11691/sq mi,4514/km2,404327,741021,https://factfinder.census.gov/bkmk/table/1.0/en/DEC/10_DP/DPDP1/1600000US3401351,"The city is also a college town, with nearly 50,000 students attending the city's universities and medical and law schools.As of 2010, roughly one-third of the city's population was impoverished.The city is the largest in New Jersey's Gateway Region, which is said to have received its name from Newark's nickname as the ""Gateway City"".The city had 72 homicides in 2017, a statistic described as a ""historic low"", and a sharp drop from the 96 murders recorded in the city in 2016.Newark is New Jersey's largest and second-most racially diverse city (after neighboring Jersey City).The city's altitude ranges from 0 (sea level) in the east to approximately 230 feet (70 m) above sea level in the western section of the city.Pope John Paul II visited the city in 1995, at which time he elevated the city's cathedral to a basilica to become the Cathedral Basilica of the Sacred Heart."
74,Toledo,Ohio,274975,287208,−4.26%,80.7 sq mi,209.0 km2,3451/sq mi,1332/km2,413951,833455,https://factfinder.census.gov/bkmk/table/1.0/en/DEC/10_DP/DPDP1/1600000US3977000,"The city has a total area of 84.12 square miles (217.87 km2), of which 80.69 square miles (208.99 km2) is land and 3.43 square miles (8.88 km2) is water.The University of Toledo is influential in the city, contributing to the prominence of healthcare as the city's biggest employer.The city's arts and entertainment weekly is the Toledo City Paper.Large immigrant populations came to the area, attracted by the many factory jobs available and the city's easy accessibility.The city rebounded, but the slump of American manufacturing in the second half of the 20th century during industrial restructuring cost many jobs.Toledo was the first city in Ohio to adopt a One Percent for Art program and, as such, boasts many examples of public, outdoor art.The Toledo metropolitan area had a 2010 population of 608,145, and was the sixth-largest metropolitan area in the state of Ohio, behind Cleveland, Columbus, Cincinnati, Dayton, and Akron."
75,Durham,North Carolina,274291,228330,+20.13%,109.8 sq mi,284.4 km2,2395/sq mi,925/km2,355852,785410,https://factfinder.census.gov/bkmk/table/1.0/en/DEC/10_DP/DPDP1/1600000US3719000,"There is a resurgence of restaurants in and around the downtown area, including several new restaurants in the American Tobacco District.Naturally, a merger of Durham City Schools (several inner city neighborhoods) and Durham County Schools in the early 1990s has not been without controversy.The Durham Association for Downtown Arts (DADA) is a non-profit arts organization located in the downtown area.Amtrak operates a daily train between Charlotte and New York City (the Carolinian) which stops at the Durham Transit Station in downtown Durham.[citation needed] Working together in coalition, these two groups have dominated city and county politics since the early 1980s.In recent years the city of Durham has stepped up revitalization of its downtown and undergone an economic and cultural renaissance of sorts.A secondary magnet school, Durham School of the Arts, is also located in downtown Durham."
76,Chula Vista,California,271651,243916,+11.37%,49.6 sq mi,128.5 km2,5387/sq mi,2080/km2,323740,1170055,https://factfinder.census.gov/bkmk/table/1.0/en/DEC/10_DP/DPDP1/1600000US0613392,"The city council serves as the legislative body of the city, and it appoints a city manager to serve as chief administrator.In 2014, a survey conducted at the request of the city found that the majority of San Diegans surveyed had a negative perception of the city.The city has been trying since 1986 to get a university located in the city.The City of Chula Vista is a California charter city operating under the council–manager government form.Later the Kumeyaay tribe came to populate the land, on which the city sits today, who lived in the area for hundreds of years.Chula Vista is the second largest city, by area, within San Diego County.This small business community is attributed to the city's growth and serves as a stable base for its economic engine."
77,Fort Wayne,Indiana,267633,253691,+5.50%,110.6 sq mi,286.5 km2,2391/sq mi,923/km2,410518,850838,https://factfinder.census.gov/bkmk/table/1.0/en/DEC/10_DP/DPDP1/1600000US1825000,"Fort Wayne City Council has nine elected members, one representative from each of the city's six council districts and three at-large members, serving four-year terms.Fort Wayne's ""Summit City"" nickname dates from this period, referring to the city's position at the highest elevation along the canal's route.With a population of 253,691 in the 2010 census, it is the second-most populous city in Indiana after Indianapolis, and the 75th-most populous city in the United States.The mayor, city clerk, and city council members serve four-year terms.The city also received an Outstanding Achievement City Livability Award by the U.S. Conference of Mayors in 1999.Other sectors include distribution, transportation, and logistics (23.1 percent), health care (17.9 percent), professional and business services (12.1 percent), leisure and hospitality (11.1 percent), and financial services (6.3 percent).Located in northeastern Indiana, the city is 18 miles (29 km) west of the Ohio border and 50 miles (80 km) south of the Michigan border."
78,Jersey City,New Jersey,265549,247597,+7.25%,14.8 sq mi,38.3 km2,17848/sq mi,6891/km2,404241,740353,https://factfinder.census.gov/bkmk/table/1.0/en/DEC/10_DP/DPDP1/1600000US3401736,"Jersey City is home to New Jersey City University and Saint Peter's University, both of which are located in the city's West Side district.Previously the city of Hudson City, The Heights was incorporated into Jersey City in 1869.The Jersey City Art School is a private art school located in downtown Jersey City for all ages.William L. Dickinson High School is the oldest high school in the city and one of the largest schools in Hudson County in terms of student population.Jersey City's tax base grew by $136 million in 2017 giving Jersey City the largest municipal tax base in the State of New Jersey.Indian Americans constituted 10.9% of the overall population of Jersey City in 2010, the highest proportion of any major U.S. city.Immigrants from South America, led by Ecuador, are a growing component of Jersey City's population/ Puerto Rican Americans constitute the largest Hispanic group in Jersey City."
79,St. Petersburg,Florida,265098,244769,+8.31%,61.8 sq mi,160.1 km2,4223/sq mi,1631/km2,274543,823839,https://factfinder.census.gov/bkmk/table/1.0/en/DEC/10_DP/DPDP1/1600000US1263000,"In the eastern center of the city is Downtown St. Petersburg, which includes the city's residential and commercial skyscrapers, art galleries, museums, and parks.According to a 2010 census, the city contained 244,769 people, making St. Petersburg the largest city in Pinellas County, and 129,401 households.The refurbished shopping arcade is one of 13 original city arcades built in the city.City government programming previously aired on city-owned WSPF-CD channel 35 until 2012, when the city sold the station to private interests.A sightseeing trolley, called The Looper, also travels to key downtown destinations daily such as USFSP, Sundial, Vinoy Hotel, and the multiple museums around the city.Old Northeast is also home to a shopping district, city landmarks, beaches, and small shops as well as small residential high rises.The area's main shopping mall is Tyrone Square Mall, constructed in 1972 and is located in the northwestern part of the city."
80,Laredo,Texas,261639,236091,+10.82%,101.1 sq mi,261.8 km2,2544/sq mi,982/km2,273337,992921,https://factfinder.census.gov/bkmk/table/1.0/en/DEC/10_DP/DPDP1/1600000US4841464,"Several private schools also serve the city: The city also has several charter schools, including: Laredo is home to Laredo College and Texas A&M International University (TAMIU).The council then named the assistant city manager, Horacio De Leon, as the acting city manager.In 2015, the city council named Jesus R. ""Chuy"" Olivares (born c. 1959) as the city manager to succeed the retiring Carlos Villarreal.The municipal government is administered by the city manager hired by the city council.The Laredo city government is a strong city council – weak mayor system.It also has three branches in the Laredo area: the South Clinic, El Cenizo Community Center, and Quad City Community Center.Mayor Pete Saenz, however, said development is underway downtown and in The Heights neighborhood, once the city's most affluent residential area."
81,Madison,Wisconsin,258054,233209,+10.65%,77.0 sq mi,199.4 km2,3280/sq mi,1270/km2,430516,892548,https://factfinder.census.gov/bkmk/table/1.0/en/DEC/10_DP/DPDP1/1600000US5548000,"In 2013, there was a motion in the city council to turn Dreyfus' insult into the official city ""punchline,"" but it was voted down by the city council.The city is home to the University of Wisconsin–Madison, Edgewood College and Madison Area Technical College, giving the city a post-secondary student population of nearly 55,000.City voters have supported the Democratic Party in national elections in the last half-century, and a liberal and progressive majority is generally elected to the city council.Several of these bike paths connect to state trails, such as the Capital City State Trail, Military Ridge State Trail, and Badger State Trail.Madison is home to an extensive and varied number of print publications, reflecting the city's role as the state capital and its diverse political, cultural and academic population.The city has 12.7 parks per 10,000 residents, more than any other city.The city completely surrounds the smaller town of Madison, the city of Monona, and the villages of Maple Bluff and Shorewood Hills."
82,Chandler,Arizona,257165,236123,+8.91%,64.9 sq mi,168.1 km2,3813/sq mi,1472/km2,331658,1115118,https://factfinder.census.gov/bkmk/table/1.0/en/DEC/10_DP/DPDP1/1600000US0412000,"The building is listed as historical by the Chandler Historical Society.The city was one of 10 across the U.S. to receive the All-America City honor on June 18, 2010, in Kansas City, Missouri.The north central section of the city & the western ""leg"" of the city are within Arizona's 9th congressional district , served by Representative Greg Stanton, a Democrat.According to the City of Chandler's website leading employers in the city include: Chandler is noted for its annual Ostrich Festival.Currently, two express bus routes leave from the city near downtown, and a new park and ride facility was recently completed further south.The Community Services Department, located in Old Downtown Chandler, operates the community center, senior center, dozens of local neighborhood and community parks, two recreation centers and six aquatic centers.No light rail lines have been approved in the city, although high-capacity corridors including light rail have been identified in other regional and local plans."
83,Buffalo,New York,256304,261310,−1.92%,40.4 sq mi,104.6 km2,6359/sq mi,2455/km2,425333,785135,https://factfinder.census.gov/bkmk/table/1.0/en/DEC/10_DP/DPDP1/1600000US3611000," Buffalo is the second largest city in the U.S. state of New York and the largest city in Western New York.Urban renewal from the 1950s–1970s gave way to the construction of the Brutalist-style Buffalo City Court Building and One Seneca Tower—formerly the HSBC Center, the city's tallest building.Historically, the city was a major stop on through routes between Chicago and New York City through the lower Ontario peninsula.Within the city, the route passes by light industrial developments and high-density areas of the city.The city got the nickname City of Light at this time due to the widespread electric lighting.[citation needed] The city's extensive breakwall system protects its inner and outer harbors, which are maintained at commercial navigation depths for Great Lakes freighters.[citation needed] As of 2014[update], the median home price in the city was $95,000."
84,Lubbock,Texas,255885,229573,+11.46%,124.6 sq mi,322.7 km2,2027/sq mi,783/km2,333356,1015312,https://factfinder.census.gov/bkmk/table/1.0/en/DEC/10_DP/DPDP1/1600000US4845000,"The council also appoints a city manager to handle the ordinary business of the city.CNN mentioned the city's traditional business atmosphere: low rent for commercial space, central location, and cooperative city government.It runs bus routes throughout the city, with the main routes converging at the Downtown Transfer Plaza, which also houses the Greyhound bus terminal.At one time, Lubbock was home to Reese Air Force Base, located 6 mi (10 km) west of the city.PSC interchanges with BNSF (also with UP through a UP-BNSF Haulage agreement) in Lubbock and has 19 miles of track with in city limits of Lubbock with 36 customers.With a population of 256,042 in 2015, the city is also the 83rd-most populous in the United States.The Depot District, an area of the city dedicated to music and nightlife in the old railroad depot area, boasts theatres, upscale restaurants, and cultural attractions."
85,Scottsdale,Arizona,255310,217385,+17.45%,183.9 sq mi,476.3 km2,1341/sq mi,518/km2,334103,1115140,https://factfinder.census.gov/bkmk/table/1.0/en/DEC/10_DP/DPDP1/1600000US0465000,"According to the City's 2016 Comprehensive Annual Financial Report, the top employers in the city are: The city is home to corporate retail outlets, as well as independent boutiques.In 1975, the ""east Shea"" section, bordering Fountain Hills, was annexed by the city, expanding its area from 62.2 square miles to 88.6 square miles.The city manager also serves as the city treasurer.Most of the unused property within the city limits was to the north, so that was the direction in which the city expanded.The city's Transportation Master Plan identifies Scottsdale Road as the city's high-capacity corridor, which could be light rail, modern streetcar service, or bus rapid-transit (BRT).Scottsdale is governed by a mayor and city council, all of whom are elected ""at large"" to represent the entire city.The city, which in 1959 had spanned 5 square miles, had expanded its borders to now encompass 62 square miles."
86,Reno,Nevada,250998,225221,+11.45%,107.3 sq mi,277.9 km2,2286/sq mi,883/km2,393257,1195100,https://factfinder.census.gov/bkmk/table/1.0/en/DEC/10_DP/DPDP1/1600000US3260600,"Before the water goes to the homes around the Reno area, it must go to one of two water treatment plants, Chalk Bluff or Glendale Water Treatment Plant.The other two council members are the at-large member, who represents the entire city, and the mayor, who is elected by the people of the city.As an attempt to save water, golf courses in Reno have been using treated effluent water instead of treated water from one of Reno's water plants. Reno (/ˈriːnoʊ/ REE-noh) is a city in the U.S. state of Nevada, located in the northwestern part of the state, approximately 22 miles (35 km) from Lake Tahoe.In 2004, the city completed a $1.5 million whitewater park on the Truckee River in downtown Reno which hosts whitewater events throughout the year.Reno lies 26 miles (42 km) north of the Nevada state capital, Carson City, and 22 miles (35 km) northeast of Lake Tahoe in a shrub-steppe environment.The City Attorney represents the city government in court, and prosecutes misdemeanors."
87,Glendale,Arizona,250702,226721,+10.58%,59.1 sq mi,153.1 km2,4161/sq mi,1607/km2,333159,1121124,https://factfinder.census.gov/bkmk/table/1.0/en/DEC/10_DP/DPDP1/1600000US0427820,"Tinker House, built 1913 (NRHP) Glendale Grammar School One-Room Class Building, built in 1920 (NRHP) Glendale High School Auditorium, built 1939 (NRHP) Santa Fe Railroad Depot, built in 1895. Glendale /ˈɡlɛndeɪl/ is a city in Maricopa County, Arizona, United States, located about nine miles (14 km) northwest from Downtown Phoenix.The following school districts serve the city: Grace Lutheran School is a Pre-K-8 Christian school of the Wisconsin Evangelical Lutheran Synod (WELS) in Glendale.The median income for a household in the city was $45,015, and the median income for a family was $51,162.The historic William John Murphy House was built in 1895 and is located at 7514 N. Central Ave. in Phoenix, Arizona.Though the operations of the factory only lasted until 1913, it played an important role in the increase of immigrant and migrant settlers in the city.The city of Glendale has a roughly average percentage of households without a car."
88,Gilbert,Arizona,248279,208453,+19.11%,68.0 sq mi,176.1 km2,3487/sq mi,1346/km2,331837,1114435,https://factfinder.census.gov/bkmk/table/1.0/en/DEC/10_DP/DPDP1/1600000US0427400,"According to the United States Census Bureau, in the 2000 Census, the town had an estimated area of 40 square miles (104 km2).The location of the town post office moved several times before settling on the east side of Gilbert Road in downtown, where it still stands today. Gilbert is a town in Maricopa County, Arizona, United States, located southeast of Phoenix, within the Phoenix metropolitan area.Since Gilbert remains incorporated as a town, it lacks the additional powers possessed by nearby Mesa and Chandler, which are incorporated as cities.In 2018 Waymo started testing in a small portion of the northwest portion of the town of Gilbert.In 2017, the town's population was estimated to be at 242,354.The town is also home to Gilbert Christian Schools, a chain of private schools."
89,Winston–Salem,North Carolina,246328,229617,+7.28%,132.5 sq mi,343.2 km2,1828/sq mi,706/km2,360610,801540,,"City officials appointed by the City Council include City Attorney Angela Carmon and City Manager Lee Garrity.The Council appoints the City Manager and City Attorney and approves appointments to city boards and commissions.""Camel City"" is a reference to the city's historic involvement in the tobacco industry related to locally based R. J. Reynolds Tobacco Company's Camel cigarettes.Winston-Salem is called the ""Twin City"" for its dual heritage and ""City of the Arts and Innovation"" for its dedication to fine arts and theater and technological research.The City Council is responsible for adopting and providing for all ordinances, rules and regulations as necessary for the general welfare of the city.The governing body for the City of Winston-Salem is an eight-member City Council.The area surrounding the mall along Stratford Road and Hanes Mall Boulevard has become one of the city's largest shopping districts."
90,North Las Vegas,Nevada,245949,216961,+13.36%,98.0 sq mi,253.8 km2,2436/sq mi,941/km2,361709,1150538,https://factfinder.census.gov/bkmk/table/1.0/en/DEC/10_DP/DPDP1/1600000US3251800,"The city manager and city attorney are appointed by and report to the City Council.In June 2011 the city opened a third recreation center—SkyView Multi-Generational Recreation Center—focused on mufti-generational fitness and recreation.The city of North Las Vegas provides recreational amenities, police and fire protection, and water and wastewater services.The City of North Las Vegas operates an extensive system of open spaces, parks and leisure services.Six of the city's parks feature water amenities, including pools, ponds and spray pads.The median income for a household in the city was $46,057, and the median income for a family was $46,540.RTC Transit provides bus service in the city, as it does throughout the Las Vegas metropolitan area."
91,Norfolk,Virginia,244076,242803,+0.52%,53.3 sq mi,138.0 km2,4599/sq mi,1776/km2,365523,761441,https://factfinder.census.gov/bkmk/table/1.0/en/DEC/10_DP/DPDP1/1600000US5157000,"Norfolk's city government provides services for neighborhoods, including service centers and civic leagues that interact directly with members of City Council.The city is also known for its ""Mermaids on Parade,"" a public art program launched in 2002 to place mermaid statues all over the city.The city also has some community pools open to city residents.Downtown's rising fortunes helped to expand the city's revenues and allowed the city to direct attention to other neighborhoods.In 1804, another serious fire along the city's waterfront destroyed some 300 buildings and the city suffered a serious economic setback.Norfolk city government consists of a city council with representatives from seven districts serving in a legislative and oversight capacity, as well as a popularly elected, at-large mayor.The city manager serves as head of the executive branch and supervises all city departments and executing policies adopted by the Council."
92,Chesapeake,Virginia,242634,222209,+9.19%,338.5 sq mi,876.7 km2,703/sq mi,271/km2,364046,761806,https://factfinder.census.gov/bkmk/table/1.0/en/DEC/10_DP/DPDP1/1600000US5116000,"Norfolk headquartered Virginia Natural Gas, a subsidiary of AGL Resources, distributes natural gas to the city from storage plants in James City County and in the city.In 1963, the new independent city of Chesapeake was created when the former independent city of South Norfolk consolidated with Norfolk County.The relatively small city of South Norfolk had become an incorporated town within Norfolk County in 1919, and became an independent city in 1922.Hampton Roads Transit buses serve the city of Chesapeake as well as other cities in the Hampton Roads Area.Becoming an independent city was a method for the former county to stabilize borders with neighbors, as cities could not annex territory from each other.This poses challenges to city leaders in supporting infrastructure to serve this area.Within the city limits, Chesapeake Regional Airport is a general aviation facility located just south of Great Bridge."
93,Garland,Texas,242507,226876,+6.89%,57.0 sq mi,147.6 km2,4122/sq mi,1592/km2,325435,963749,https://factfinder.census.gov/bkmk/table/1.0/en/DEC/10_DP/DPDP1/1600000US4829000,"The city of Garland operates the city's water system and waste services.As of 2014 the city was considered the 6th ""Best City for Working Parents"".On May 9, 1927, a tornado destroyed much of the city and killed 17 people, including a former mayor, S. E. Nicholson.According to the United States Census Bureau, the city has a total area of 57.1 square miles (147.9 km²), all land.In 1990, it had a population of 180,650 and 2,227 businesses, making it Dallas County's second-largest city and the tenth-largest in the state.This later led to the formation of Garland Power and Light, the municipal electric provider that still powers the city today.Garland is an original member city of the North Texas Municipal Water District (NTMWD)."
94,Irving,Texas,242242,216290,+12.00%,67.0 sq mi,173.5 km2,3557/sq mi,1373/km2,325128,965812,https://factfinder.census.gov/bkmk/table/1.0/en/DEC/10_DP/DPDP1/1600000US4837000,"Irving is a principal city in Dallas County in the U.S. state of Texas and it is also an inner ring suburb of the city of Dallas.The Airport Freeway, SH 183, runs east-west in the city center, while LBJ Freeway or I-635 crosses the city's northern edge in the same direction.The median income for a household in the city was $44,956, and the median income for a family was $50,172.The 2012 median income for a household in the city was $49,303, and the median income for a family was $54,755.While Irving has a large population of racial minorities, the entire city council and the mayor's office, was entirely non-Hispanic White.About 8.0% of families and 10.6% of the population were below the poverty line, including 14.2% of those under age 18 and 6.3% of those age 65 or over.About 13.2% of families and 16.2% of the population were below the poverty line, including 24.5% of those under age 18 and 9.4% of those age 65 or over."
95,Hialeah,Florida,238942,224669,+6.35%,21.5 sq mi,55.7 km2,10995/sq mi,4245/km2,255212,801810,https://factfinder.census.gov/bkmk/table/1.0/en/DEC/10_DP/DPDP1/1600000US1230000,"All Hispanics make up 94.7% of the city's population, the second-highest percentage of a Hispanic population in a U.S. city with over 100,000 citizens.In January 2009, Forbes magazine listed Hialeah as one of the most boring cities in the United States citing the city's large population and anonymity in the national media.Hialeah is the tenth-largest city in the United States among cities with a population density of more than 10,000 people per square mile.The city is also one of the largest employers in Dade County.In 2000, the median income for a household in the city was $29,492, and the median income for a family was $31,621.In 2016, 96.3% of residents reported speaking Spanish at home, and the language is an important part of daily life in the city.The city's name is most commonly attributed to Muskogee origin, ""Haiyakpo"" (prairie) and ""hili"" (pretty) combining in ""Hialeah"" to mean ""pretty prairie""."
96,Fremont,California,237807,214089,+11.08%,77.5 sq mi,200.7 km2,3008/sq mi,1161/km2,372940,1215628,https://factfinder.census.gov/bkmk/table/1.0/en/DEC/10_DP/DPDP1/1600000US0626000,"According to the City's June 2013 Comprehensive Annual Financial Report, the top employers in the city are: The City of Fremont has been a Tree City USA since 1996.The city council appoints a city manager and city attorney.These five high schools, along with James Logan High School in Union City and Newark Memorial High School in Newark, make up the Mission Valley Athletic League (M.V.A.L.).The school district is called the Fremont Unified School District which also serves parts of Union City and Hayward.The area is served by three high schools: Irvington High School, Robertson High School, and John F. Kennedy High School.It is one of the largest cities by land area and the fourth most populous city in the San Francisco Bay Area, behind San Jose, San Francisco, and Oakland.The city will phase in district-based instead of at-large elections for all but one seat on the city council, beginning in November 2018."
97,Boise,Idaho,228790,205671,+11.24%,82.1 sq mi,212.6 km2,2718/sq mi,1049/km2,433601,1161354,https://factfinder.census.gov/bkmk/table/1.0/en/DEC/10_DP/DPDP1/1600000US1608830,"The Boise-Nampa metropolitan area, also known as the Treasure Valley, includes five counties with a combined population of 709,845, the most populous metropolitan area in Idaho.The North End, generally defined as the part of Boise north of State Street, contains many of the city's older homes.The unique blue playing field at the 37,000-seat Albertsons Stadium on the BSU campus, home to the Boise State Broncos football team, is a major city landmark.Northwest Boise lies against the Boise Foothills to the north, State Street to the south, the city of Eagle to the west, and downtown Boise to the east.The area gets its name from the natural hot springs that flow from Boise's fault line and warm many of the area's homes.On the first Thursday of each month, a gallery stroll known as First Thursday is hosted in the city's core business district by the Downtown Boise Association.The area lies near Interstate 84, theaters, shopping, the airport, golf and the Boise Bench area."
98,Richmond,Virginia,228783,204214,+12.03%,59.8 sq mi,154.9 km2,3732/sq mi,1441/km2,373153,772834,https://factfinder.census.gov/bkmk/table/1.0/en/DEC/10_DP/DPDP1/1600000US5176000,"Craft beer, cider and liquor production is also growing in the River City, with twelve micro-breweries in city proper; the oldest is Legend Brewery, founded in 1994.The city council meets at City Hall, located at 900 E. Broad St., 2nd Floor, on the second and fourth Mondays of every month, except August.Within the year the city council switched from majority white to majority black, reflecting the city's populace.Richmond's City Code provides for the creation of old and historic districts so as to ""recognize and protect the historic, architectural, cultural, and artistic heritage of the City"".Several theme parks are also located near the city, including Kings Dominion to the north, and Busch Gardens to the east, near Williamsburg.As of the 2010 census, the city's population was 204,214; in 2016, the population was estimated to be 223,170, making Richmond the fourth-most populous city in Virginia.Pursuant to that authority, the city has designated 45 districts throughout the city."
